"Classe","Sexo","Idade","num_irmaos_conjugues","num_pais_criancas","num_bilhete","tarifa","cabine","porto_embarcacao","num_bote_salva_vidas","sobreviveu"
"First","Female",47,1,0,"W.E.P. 5734",61175,"E31","Southampton","4","Yes"
"First","Male",27,1,0,"113806",53.1,"E8","Southampton","5","Yes"
"First","Female",33,1,0,"113806",53.1,"E8","Southampton","5","Yes"
"First","Female",36,0,0,"PC 17608",262375,"B61","Cherbourg","4","Yes"
"First","Female",30,0,0,"110152",86.5,"B77","Southampton","8","Yes"
"First","Male",45,0,0,"PC 17594",29.7,"A9","Cherbourg","7","Yes"
"First","Female",,0,1,"113505",55,"E33","Southampton","6","Yes"
"First","Male",,0,0,"112051",0,,"Southampton",,"No"
"First","Male",27,1,0,"13508",136.7792,"C89","Cherbourg",,"No"
"First","Female",26,1,0,"13508",136.7792,"C89","Cherbourg","4","Yes"
"First","Female",22,0,0,"113781",151.55,,"Southampton","11","Yes"
"First","Male",,0,0,"110465",52,"A14","Southampton",,"No"
"First","Male",47,0,0,"5727",25.5875,"E58","Southampton",,"No"
"First","Female",39,1,1,"PC 17756",83.1583,"E49","Cherbourg","14","Yes"
"First","Male",37,1,1,"PC 17756",83.1583,"E52","Cherbourg",,"No"
"First","Female",64,0,2,"PC 17756",83.1583,"E45","Cherbourg","14","Yes"
"First","Female",55,2,0,"11770",25.7,"C101","Southampton","2","Yes"
"First","Male",,0,0,"113791",26.55,,"Southampton",,"No"
"First","Male",70,1,1,"WE/P 5735",71,"B22","Southampton",,"No"
"First","Female",36,0,2,"WE/P 5735",71,"B22","Southampton","7","Yes"
"First","Female",64,1,1,"112901",26.55,"B26","Southampton","7","Yes"
"First","Male",39,1,0,"PC 17599",71.2833,"C85","Cherbourg",,"No"
"First","Female",38,1,0,"PC 17599",71.2833,"C85","Cherbourg","4","Yes"
"First","Male",51,0,0,"113055",26.55,"E17","Southampton","5 9","Yes"
"First","Male",27,0,0,"113804",30.5,,"Southampton","3","Yes"
"First","Female",33,0,0,"113781",151.55,,"Southampton","8","Yes"
"First","Male",31,1,0,"F.C. 12750",52,"B71","Southampton",,"No"
"First","Female",27,1,2,"F.C. 12750",52,"B71","Southampton","3","Yes"
"First","Male",31,1,0,"17474",57,"B20","Southampton","3","Yes"
"First","Female",17,1,0,"17474",57,"B20","Southampton","3","Yes"
"First","Male",53,1,1,"33638",81.8583,"A34","Southampton","13","Yes"
"First","Male",4,0,2,"33638",81.8583,"A34","Southampton","5","Yes"
"First","Female",54,1,1,"33638",81.8583,"A34","Southampton","5","Yes"
"First","Male",50,1,0,"PC 17761",106425,"C86","Cherbourg",,"No"
"First","Female",27,1,1,"PC 17558",247.5208,"B58 B60","Cherbourg","6","Yes"
"First","Female",48,1,0,"PC 17761",106425,"C86","Cherbourg","2","Yes"
"First","Female",48,1,0,"11755",39.6,"A16","Cherbourg","1","Yes"
"First","Male",49,1,0,"PC 17485",56.9292,"A20","Cherbourg","1","Yes"
"First","Male",39,0,0,"PC 17580",29.7,"A18","Cherbourg",,"No"
"First","Female",23,0,1,"11767",83.1583,"C54","Cherbourg","7","Yes"
"First","Female",38,0,0,"PC 17757",227525,"C45","Cherbourg","4","Yes"
"First","Female",54,1,0,"36947",78.2667,"D20","Cherbourg","4","Yes"
"First","Female",36,0,0,"PC 17531",31.6792,"A29","Cherbourg",,"No"
"First","Male",,0,0,"PC 17483",221.7792,"C95","Southampton",,"No"
"First","Female",,0,0,"PC 17598",31.6833,,"Southampton","7","Yes"
"First","Female",,0,0,"17421",110.8833,,"Cherbourg","4","Yes"
"First","Male",36,0,0,"PC 17474",26.3875,"E25","Southampton","5","Yes"
"First","Male",30,0,0,"113051",27.75,"C111","Cherbourg",,"No"
"First","Female",24,3,2,"19950",263,"C23 C25 C27","Southampton","10","Yes"
"First","Female",28,3,2,"19950",263,"C23 C25 C27","Southampton","10","Yes"
"First","Female",23,3,2,"19950",263,"C23 C25 C27","Southampton","10","Yes"
"First","Male",19,3,2,"19950",263,"C23 C25 C27","Southampton",,"No"
"First","Male",64,1,4,"19950",263,"C23 C25 C27","Southampton",,"No"
"First","Female",60,1,4,"19950",263,"C23 C25 C27","Southampton","10","Yes"
"First","Female",30,0,0,"PC 17485",56.9292,"E36","Cherbourg","1","Yes"
"First","Male",,0,0,"113778",26.55,"D34","Southampton",,"No"
"First","Male",50,2,0,"PC 17611",133.65,,"Southampton","5","Yes"
"First","Male",43,1,0,"17765",27.7208,"D40","Cherbourg","5","Yes"
"First","Female",,1,0,"PC 17611",133.65,,"Southampton","5","Yes"
"First","Female",22,0,2,"13568",49.5,"B39","Cherbourg","5","Yes"
"First","Male",60,1,1,"13567",79.2,"B41","Cherbourg","5","Yes"
"First","Female",48,1,1,"13567",79.2,"B41","Cherbourg","5","Yes"
"First","Male",,0,0,"112058",0,"B102","Southampton",,"No"
"First","Male",37,1,0,"113803",53.1,"C123","Southampton",,"No"
"First","Female",35,1,0,"113803",53.1,"C123","Southampton","D","Yes"
"First","Male",47,0,0,"111320",38.5,"E63","Southampton",,"No"
"First","Female",35,0,0,"113503",211.5,"C130","Cherbourg","4","Yes"
"First","Female",22,0,1,"112378",59.4,,"Cherbourg","7","Yes"
"First","Female",45,0,1,"112378",59.4,,"Cherbourg","7","Yes"
"First","Male",24,0,0,"PC 17593",79.2,"B86","Cherbourg",,"No"
"First","Male",49,1,0,"17453",89.1042,"C92","Cherbourg","5","Yes"
"First","Female",,1,0,"17453",89.1042,"C92","Cherbourg","5","Yes"
"First","Male",71,0,0,"PC 17754",34.6542,"A5","Cherbourg",,"No"
"First","Male",53,0,0,"113780",28.5,"C51","Cherbourg","B","Yes"
"First","Female",19,0,0,"112053",30,"B42","Southampton","3","Yes"
"First","Male",38,0,1,"PC 17582",153.4625,"C91","Southampton",,"No"
"First","Female",58,0,1,"PC 17582",153.4625,"C125","Southampton","3","Yes"
"First","Male",23,0,1,"PC 17759",63.3583,"D10 D12","Cherbourg","7","Yes"
"First","Female",45,0,1,"PC 17759",63.3583,"D10 D12","Cherbourg","7","Yes"
"First","Male",46,0,0,"PC 17593",79.2,"B82 B84","Cherbourg",,"No"
"First","Male",25,1,0,"11765",55.4417,"E50","Cherbourg","5","Yes"
"First","Female",25,1,0,"11765",55.4417,"E50","Cherbourg","5","Yes"
"First","Male",48,1,0,"PC 17572",76.7292,"D33","Cherbourg","3","Yes"
"First","Female",49,1,0,"PC 17572",76.7292,"D33","Cherbourg","3","Yes"
"First","Male",,0,0,"113796",42.4,,"Southampton",,"No"
"First","Male",45,1,0,"36973",83475,"C83","Southampton",,"No"
"First","Female",35,1,0,"36973",83475,"C83","Southampton","D","Yes"
"First","Male",40,0,0,"112059",0,"B94","Southampton",,"No"
"First","Male",27,0,0,"PC 17572",76.7292,"D49","Cherbourg","3","Yes"
"First","Male",,0,0,"16988",30,"D45","Southampton","3","Yes"
"First","Female",24,0,0,"11767",83.1583,"C54","Cherbourg","7","Yes"
"First","Male",55,1,1,"12749",93.5,"B69","Southampton",,"No"
"First","Female",52,1,1,"12749",93.5,"B69","Southampton","3","Yes"
"First","Male",42,0,0,"113038",42.5,"B11","Southampton",,"No"
"First","Male",,0,0,"17463",51.8625,"E46","Southampton",,"No"
"First","Male",55,0,0,"680",50,"C39","Southampton",,"No"
"First","Female",16,0,1,"111361",57.9792,"B18","Cherbourg","4","Yes"
"First","Female",44,0,1,"111361",57.9792,"B18","Cherbourg","4","Yes"
"First","Female",51,1,0,"13502",77.9583,"D11","Southampton","10","Yes"
"First","Male",42,1,0,"113789",52,,"Southampton",,"No"
"First","Female",35,1,0,"113789",52,,"Southampton","8","Yes"
"First","Male",35,0,0,"111426",26.55,,"Cherbourg","15","Yes"
"First","Male",38,1,0,"19943",90,"C93","Southampton","D","Yes"
"First","Male",,0,0,"PC 17600",30.6958,,"Cherbourg","14","No"
"First","Female",35,1,0,"19943",90,"C93","Southampton","D","Yes"
"First","Female",38,0,0,"113572",80,"B28",,"6","Yes"
"First","Female",50,0,0,"PC 17595",28.7125,"C49","Cherbourg",,"No"
"First","Male",49,0,0,"112058",0,"B52 B54 B56","Southampton","C","Yes"
"First","Male",46,0,0,"694",26,,"Southampton",,"No"
"First","Male",50,0,0,"113044",26,"E60","Southampton",,"No"
"First","Male",32.5,0,0,"113503",211.5,"C132","Cherbourg",,"No"
"First","Male",58,0,0,"11771",29.7,"B37","Cherbourg",,"No"
"First","Male",41,1,0,"17464",51.8625,"D21","Southampton",,"No"
"First","Female",,1,0,"17464",51.8625,"D21","Southampton","8","Yes"
"First","Male",42,1,0,"11753",52.5542,"D19","Southampton","5","Yes"
"First","Female",45,1,0,"11753",52.5542,"D19","Southampton","5","Yes"
"First","Male",,0,0,"113028",26.55,"C124","Southampton",,"No"
"First","Female",39,0,0,"24160",211.3375,,"Southampton","2","Yes"
"First","Female",49,0,0,"17465",25.9292,"D17","Southampton","8","Yes"
"First","Female",30,0,0,"PC 17761",106425,,"Cherbourg","2","Yes"
"First","Male",35,0,0,"PC 17755",512.3292,"B101","Cherbourg","3","Yes"
"First","Male",,0,0,"PC 17612",27.7208,,"Cherbourg",,"No"
"First","Male",42,0,0,"17475",26.55,,"Southampton",,"No"
"First","Female",55,0,0,"112377",27.7208,,"Cherbourg","6","Yes"
"First","Female",16,0,1,"PC 17592",39.4,"D28","Southampton","9","Yes"
"First","Female",51,0,1,"PC 17592",39.4,"D28","Southampton","9","Yes"
"First","Male",29,0,0,"113501",30,"D6","Southampton",,"No"
"First","Female",21,0,0,"13502",77.9583,"D9","Southampton","10","Yes"
"First","Male",30,0,0,"113801",45.5,,"Southampton",,"No"
"First","Female",58,0,0,"PC 17569",146.5208,"B80","Cherbourg",,"Yes"
"First","Female",15,0,1,"24160",211.3375,"B5","Southampton","2","Yes"
"First","Male",30,0,0,"110469",26,"C106","Southampton",,"No"
"First","Female",16,0,0,"110152",86.5,"B79","Southampton","8","Yes"
"First","Male",,0,0,"11774",29.7,"C47","Cherbourg","7","Yes"
"First","Male",19,1,0,"113773",53.1,"D30","Southampton",,"No"
"First","Female",18,1,0,"113773",53.1,"D30","Southampton","10","Yes"
"First","Female",24,0,0,"PC 17482",49.5042,"C90","Cherbourg","6","Yes"
"First","Male",46,0,0,"13050",75.2417,"C6","Cherbourg",,"No"
"First","Male",54,0,0,"17463",51.8625,"E46","Southampton",,"No"
"First","Male",36,0,0,"PC 17473",26.2875,"E25","Southampton","7","Yes"
"First","Male",28,1,0,"PC 17604",82.1708,,"Cherbourg",,"No"
"First","Female",,1,0,"PC 17604",82.1708,,"Cherbourg","6","Yes"
"First","Male",65,0,0,"13509",26.55,"E38","Southampton",,"No"
"First","Male",44,2,0,"19928",90,"C78","Queenstown",,"No"
"First","Female",33,1,0,"19928",90,"C78","Queenstown","14","Yes"
"First","Female",37,1,0,"19928",90,"C78","Queenstown","14","Yes"
"First","Male",30,1,0,"13236",57.75,"C78","Cherbourg","11","Yes"
"First","Male",55,0,0,"113787",30.5,"C30","Southampton",,"No"
"First","Male",47,0,0,"113796",42.4,,"Southampton",,"No"
"First","Male",37,0,1,"PC 17596",29.7,"C118","Cherbourg",,"No"
"First","Female",31,1,0,"35273",113275,"D36","Cherbourg","6","Yes"
"First","Female",23,1,0,"35273",113275,"D36","Cherbourg","6","Yes"
"First","Male",58,0,2,"35273",113275,"D48","Cherbourg",,"No"
"First","Female",19,0,2,"11752",26.2833,"D47","Southampton","5","Yes"
"First","Male",64,0,0,"693",26,,"Southampton",,"No"
"First","Female",39,0,0,"PC 17758",108.9,"C105","Cherbourg","8","Yes"
"First","Male",,0,0,"F.C. 12998",25.7417,,"Cherbourg","7","Yes"
"First","Female",22,0,1,"113509",61.9792,"B36","Cherbourg","5","Yes"
"First","Male",65,0,1,"113509",61.9792,"B30","Cherbourg",,"No"
"First","Male",28.5,0,0,"PC 17562",27.7208,"D43","Cherbourg",,"No"
"First","Male",,0,0,"112052",0,,"Southampton",,"No"
"First","Male",45.5,0,0,"113043",28.5,"C124","Southampton",,"No"
"First","Male",23,0,0,"12749",93.5,"B24","Southampton",,"No"
"First","Male",29,1,0,"113776",66.6,"C2","Southampton",,"No"
"First","Female",22,1,0,"113776",66.6,"C2","Southampton","8","Yes"
"First","Male",18,1,0,"PC 17758",108.9,"C65","Cherbourg",,"No"
"First","Female",17,1,0,"PC 17758",108.9,"C65","Cherbourg","8","Yes"
"First","Female",30,0,0,"12749",93.5,"B73","Southampton","3","Yes"
"First","Male",52,0,0,"113786",30.5,"C104","Southampton","6","Yes"
"First","Male",47,0,0,"110465",52,"C110","Southampton",,"No"
"First","Female",56,0,1,"11767",83.1583,"C50","Cherbourg","7","Yes"
"First","Male",38,0,0,"19972",0,,"Southampton",,"No"
"First","Male",,0,0,"PC 17607",39.6,,"Southampton","A","Yes"
"First","Male",22,0,0,"PC 17760",135.6333,,"Cherbourg",,"No"
"First","Male",,0,0,"PC 17757",227525,,"Cherbourg",,"No"
"First","Female",43,0,1,"24160",211.3375,"B3","Southampton","2","Yes"
"First","Male",31,0,0,"PC 17590",50.4958,"A24","Southampton",,"No"
"First","Male",45,0,0,"111428",26.55,,"Southampton","9","Yes"
"First","Male",,0,0,"113767",50,"A32","Southampton",,"No"
"First","Female",33,0,0,"PC 17613",27.7208,"A11","Cherbourg","11","Yes"
"First","Male",46,0,0,"PC 17585",79.2,,"Cherbourg",,"No"
"First","Male",36,0,0,"13049",40125,"A10","Cherbourg",,"No"
"First","Female",33,0,0,"110152",86.5,"B77","Southampton","8","Yes"
"First","Male",55,1,0,"PC 17603",59.4,,"Cherbourg",,"No"
"First","Female",54,1,0,"PC 17603",59.4,,"Cherbourg","6","Yes"
"First","Male",33,0,0,"113790",26.55,,"Southampton",,"No"
"First","Male",13,2,2,"PC 17608",262375,"B57 B59 B63 B66","Cherbourg","4","Yes"
"First","Female",18,2,2,"PC 17608",262375,"B57 B59 B63 B66","Cherbourg","4","Yes"
"First","Female",21,2,2,"PC 17608",262375,"B57 B59 B63 B66","Cherbourg","4","Yes"
"First","Male",61,1,3,"PC 17608",262375,"B57 B59 B63 B66","Cherbourg",,"No"
"First","Female",48,1,3,"PC 17608",262375,"B57 B59 B63 B66","Cherbourg","4","Yes"
"First","Male",,0,0,"19988",30.5,"C106","Southampton","3","Yes"
"First","Female",24,0,0,"PC 17477",69.3,"B35","Cherbourg","9","Yes"
"First","Male",,0,0,"111163",26,,"Southampton","1","Yes"
"First","Female",35,1,0,"13236",57.75,"C28","Cherbourg","11","Yes"
"First","Female",30,0,0,"113798",31,,"Cherbourg","4","Yes"
"First","Male",34,0,0,"113794",26.55,,"Southampton","7","Yes"
"First","Female",40,0,0,"PC 17582",153.4625,"C125","Southampton","3","Yes"
"First","Male",35,0,0,"PC 17475",26.2875,"E24","Southampton","5","Yes"
"First","Male",50,1,0,"13507",55.9,"E44","Southampton",,"No"
"First","Female",39,1,0,"13507",55.9,"E44","Southampton","11","Yes"
"First","Male",56,0,0,"13213",35.5,"A26","Cherbourg","3","Yes"
"First","Male",28,0,0,"113788",35.5,"A6","Southampton","7","Yes"
"First","Male",56,0,0,"113792",26.55,,"Southampton",,"No"
"First","Male",56,0,0,"17764",30.6958,"A7","Cherbourg",,"No"
"First","Male",24,1,0,"13695",60,"C31","Southampton",,"No"
"First","Male",,0,0,"113056",26,"A19","Southampton",,"No"
"First","Female",18,1,0,"13695",60,"C31","Southampton","6","Yes"
"First","Male",24,1,0,"21228",82.2667,"B45","Southampton","7","Yes"
"First","Female",23,1,0,"21228",82.2667,"B45","Southampton","7","Yes"
"First","Male",6,0,2,"16966",134.5,"E34","Cherbourg","3","Yes"
"First","Male",45,1,1,"16966",134.5,"E34","Cherbourg","3","Yes"
"First","Female",40,1,1,"16966",134.5,"E34","Cherbourg","3","Yes"
"First","Male",57,1,0,"PC 17569",146.5208,"B78","Cherbourg",,"No"
"First","Female",,1,0,"PC 17569",146.5208,"B78","Cherbourg","6","Yes"
"First","Male",32,0,0,"13214",30.5,"B50","Cherbourg","3","Yes"
"First","Male",62,0,0,"113514",26.55,"C87","Southampton",,"No"
"First","Male",54,1,0,"11778",55.4417,"C116","Cherbourg","1","Yes"
"First","Female",43,1,0,"11778",55.4417,"C116","Cherbourg","5","Yes"
"First","Female",52,1,0,"36947",78.2667,"D20","Cherbourg","4","Yes"
"First","Male",,0,0,"PC 17605",27.7208,,"Cherbourg",,"No"
"First","Female",62,0,0,"113572",80,"B28",,"6","Yes"
"First","Male",67,1,0,"PC 17483",221.7792,"C55 C57","Southampton",,"No"
"First","Female",63,1,0,"PC 17483",221.7792,"C55 C57","Southampton",,"No"
"First","Male",61,0,0,"36963",32.3208,"D50","Southampton",,"No"
"First","Female",48,0,0,"17466",25.9292,"D17","Southampton","8","Yes"
"First","Female",18,0,2,"110413",79.65,"E68","Southampton","8","Yes"
"First","Male",52,1,1,"110413",79.65,"E67","Southampton",,"No"
"First","Female",39,1,1,"110413",79.65,"E67","Southampton","8","Yes"
"First","Male",48,1,0,"19996",52,"C126","Southampton","5 7","Yes"
"First","Female",,1,0,"19996",52,"C126","Southampton","5 7","Yes"
"First","Male",49,1,1,"17421",110.8833,"C68","Cherbourg",,"No"
"First","Male",17,0,2,"17421",110.8833,"C70","Cherbourg","B","Yes"
"First","Female",39,1,1,"17421",110.8833,"C68","Cherbourg","4","Yes"
"First","Female",,0,0,"PC 17585",79.2,,"Cherbourg","D","Yes"
"First","Male",31,0,0,"2543",28.5375,"C53","Cherbourg","7","Yes"
"First","Male",40,0,0,"PC 17601",27.7208,,"Cherbourg",,"No"
"First","Male",61,0,0,"111240",33.5,"B19","Southampton",,"No"
"First","Male",47,0,0,"36967",34.0208,"D46","Southampton",,"No"
"First","Female",35,0,0,"PC 17755",512.3292,,"Cherbourg","3","Yes"
"First","Male",64,1,0,"110813",75.25,"D37","Cherbourg",,"No"
"First","Female",60,1,0,"110813",75.25,"D37","Cherbourg","5","Yes"
"First","Male",60,0,0,"113800",26.55,,"Southampton",,"No"
"First","Male",54,0,1,"35281",77.2875,"D26","Southampton",,"No"
"First","Male",21,0,1,"35281",77.2875,"D26","Southampton",,"No"
"First","Female",55,0,0,"PC 17760",135.6333,"C32","Cherbourg","8","Yes"
"First","Female",31,0,2,"36928",164.8667,"C7","Southampton","8","Yes"
"First","Male",57,1,1,"36928",164.8667,,"Southampton",,"No"
"First","Female",45,1,1,"36928",164.8667,,"Southampton","8","Yes"
"First","Male",50,1,1,"113503",211.5,"C80","Cherbourg",,"No"
"First","Male",27,0,2,"113503",211.5,"C82","Cherbourg",,"No"
"First","Female",50,1,1,"113503",211.5,"C80","Cherbourg","4","Yes"
"First","Female",21,0,0,"113795",26.55,,"Southampton","8 10","Yes"
"First","Male",51,0,1,"PC 17597",61.3792,,"Cherbourg",,"No"
"First","Male",21,0,1,"PC 17597",61.3792,,"Cherbourg","A","Yes"
"First","Male",,0,0,"113510",35,"C128","Southampton",,"No"
"First","Female",31,0,0,"16966",134.5,"E39 E41","Cherbourg","3","Yes"
"First","Male",,0,0,"19947",35.5,"C52","Southampton","D","Yes"
"First","Male",62,0,0,"113807",26.55,,"Southampton",,"No"
"First","Female",36,0,0,"PC 17760",135.6333,"C32","Cherbourg","8","Yes"
"Second","Male",30,1,0,"P/PP 3381",24,,"Cherbourg",,"No"
"Second","Female",28,1,0,"P/PP 3381",24,,"Cherbourg","10","Yes"
"Second","Male",30,0,0,"248744",13,,"Southampton",,"No"
"Second","Male",18,0,0,"231945",11.5,,"Southampton",,"No"
"Second","Male",25,0,0,"C.A. 34050",10.5,,"Southampton",,"No"
"Second","Male",34,1,0,"226875",26,,"Southampton",,"No"
"Second","Female",36,1,0,"226875",26,,"Southampton","11","Yes"
"Second","Male",57,0,0,"244346",13,,"Southampton",,"No"
"Second","Male",18,0,0,"29108",11.5,,"Southampton",,"No"
"Second","Male",23,0,0,"C.A. 31030",10.5,,"Southampton",,"No"
"Second","Female",36,0,0,"28551",13,"D","Southampton","10","Yes"
"Second","Male",28,0,0,"C.A./SOTON 34068",10.5,,"Southampton",,"No"
"Second","Male",51,0,0,"S.O.P. 1166",12525,,"Southampton",,"No"
"Second","Male",32,1,0,"2908",26,,"Southampton","13","Yes"
"Second","Female",19,1,0,"2908",26,,"Southampton","13","Yes"
"Second","Male",28,0,0,"244358",26,,"Southampton",,"No"
"Second","Male",1,2,1,"230136",39,"F4","Southampton","11","Yes"
"Second","Female",4,2,1,"230136",39,"F4","Southampton","11","Yes"
"Second","Female",12,2,1,"230136",39,"F4","Southampton","13","Yes"
"Second","Female",36,0,3,"230136",39,"F4","Southampton","11","Yes"
"Second","Male",34,0,0,"248698",13,"D56","Southampton","13","Yes"
"Second","Female",19,0,0,"28404",13,,"Southampton","12","Yes"
"Second","Male",23,0,0,"28425",13,,"Southampton",,"No"
"Second","Male",26,0,0,"237670",13,,"Southampton",,"No"
"Second","Male",42,0,0,"211535",13,,"Southampton",,"No"
"Second","Male",27,0,0,"220367",13,,"Southampton",,"No"
"Second","Female",24,0,0,"248733",13,"F33","Southampton","11","Yes"
"Second","Female",15,0,2,"29750",39,,"Southampton","14","Yes"
"Second","Male",60,1,1,"29750",39,,"Southampton",,"No"
"Second","Female",40,1,1,"29750",39,,"Southampton","14","Yes"
"Second","Female",20,1,0,"236853",26,,"Southampton","12","Yes"
"Second","Male",25,1,0,"236853",26,,"Southampton",,"No"
"Second","Female",36,0,0,"27849",13,,"Southampton","9","Yes"
"Second","Male",25,0,0,"234686",13,,"Southampton",,"No"
"Second","Male",42,0,0,"244310",13,,"Southampton",,"No"
"Second","Female",42,0,0,"236852",13,,"Southampton",,"Yes"
"Second","Male",0.8333,0,2,"248738",29,,"Southampton","13","Yes"
"Second","Male",26,1,1,"248738",29,,"Southampton","13","Yes"
"Second","Female",22,1,1,"248738",29,,"Southampton","13","Yes"
"Second","Female",35,0,0,"F.C.C. 13528",21,,"Southampton","14","Yes"
"Second","Male",,0,0,"239853",0,,"Southampton",,"No"
"Second","Male",19,0,0,"28424",13,,"Southampton",,"No"
"Second","Female",44,1,0,"244252",26,,"Southampton",,"No"
"Second","Male",54,1,0,"244252",26,,"Southampton",,"No"
"Second","Male",52,0,0,"248731",13.5,,"Southampton",,"No"
"Second","Male",37,1,0,"SC/AH 29037",26,,"Southampton",,"No"
"Second","Female",29,1,0,"SC/AH 29037",26,,"Southampton",,"No"
"Second","Female",25,1,1,"237789",30,,"Southampton","12","Yes"
"Second","Female",45,0,2,"237789",30,,"Southampton","12","Yes"
"Second","Male",29,1,0,"2003",26,,"Southampton",,"No"
"Second","Female",28,1,0,"2003",26,,"Southampton","14","Yes"
"Second","Male",29,0,0,"W./C. 14263",10.5,,"Southampton",,"No"
"Second","Male",28,0,0,"248740",13,,"Southampton",,"No"
"Second","Male",24,0,0,"28034",10.5,,"Southampton","9","Yes"
"Second","Female",8,0,2,"C.A. 31921",26.25,,"Southampton","14","Yes"
